縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
新北市貢寮區,105,12月,1,6,0,24,0,8,216,1,0
新北市金山區,105,10月,1,4,0,23,1,5,212,7,0
新北市金山區,105,11月,9,4,0,23,2,5,212,9,0
新北市金山區,105,12月,2,4,0,23,0,5,212,3,0
新北市雙溪區,105,10月,4,5,0,18,0,5,300,3,0
新北市雙溪區,105,11月,1,5,0,18,0,5,300,1,0
新北市鶯歌區,105,10月,27,4,0,26,5,11,267,72,1
新北市鶯歌區,105,11月,31,4,0,26,2,11,267,66,0
新北市鶯歌區,105,12月,33,4,0,26,11,11,267,38,0
臺中市北屯區,105,10月,48,7,0,67,9,26,232,374,1
臺中市北屯區,105,11月,48,7,0,67,9,26,232,461,1
臺中市北屯區,105,12月,42,7,0,67,7,26,232,189,1
臺中市南屯區,105,10月,15,5,0,37,5,16,243,273,1
臺中市南屯區,105,11月,18,5,0,37,3,16,243,358,1
臺中市南屯區,105,12月,14,5,0,37,1,16,243,177,1
臺中市后里區,105,10月,4,4,0,47,1,8,0,49,0
臺中市后里區,105,11月,11,4,0,47,1,8,0,49,0
臺中市后里區,105,12月,1,4,0,47,1,8,0,16,0
臺中市和平區,105,11月,1,15,0,13,0,10,0,3,0
臺中市和平區,105,12月,5,15,0,13,0,10,0,2,0
臺中市外埔區,105,10月,6,2,0,13,0,6,0,28,1
臺中市外埔區,105,11月,11,2,0,13,0,6,0,22,0
臺中市外埔區,105,12月,3,2,0,13,0,6,0,6,0
臺中市中大安區,105,10月,10,2,0,23,0,27,0,13,0
臺中市中大安區,105,11月,2,2,0,23,0,27,0,12,0
臺中市中大安區,105,12月,4,2,0,23,0,27,0,0,0
臺中市大甲區,105,10月,11,4,0,21,1,18,164,104,0
臺中市大甲區,105,11月,9,4,0,21,3,18,164,96,1
臺中市大甲區,105,12月,14,4,0,21,0,18,164,28,0
臺中市大肚區,105,10月,6,3,0,28,1,8,0,55,0
臺中市大肚區,105,11月,13,3,0,28,0,8,0,69,0
臺中市大肚區,105,12月,9,3,0,28,0,8,0,20,0
臺中市大里區,105,10月,42,6,0,46,4,23,0,133,1
臺中市大里區,105,11月,31,6,0,46,3,23,0,181,0
臺中市大里區,105,12月,21,6,0,46,2,23,0,133,0
臺中市大雅區,105,10月,10,2,0,25,4,11,0,136,1
臺中市大雅區,105,11月,16,2,0,25,2,11,0,124,1
臺中市大雅區,105,12月,7,2,0,25,4,11,0,70,0
臺中市太平區,105,10月,38,6,0,58,8,21,0,176,1
臺中市太平區,105,11月,37,6,0,58,2,21,0,160,1
臺中市太平區,105,12月,16,6,0,58,7,21,0,63,1
臺中市新社區,105,10月,5,4,0,30,0,9,0,8,1
臺中市新社區,105,11月,3,4,0,30,1,9,0,19,0
臺中市新社區,105,12月,5,4,0,30,0,9,0,7,0
臺中市東勢區,105,10月,20,5,0,45,0,16,228,16,0
臺中市東勢區,105,11月,10,5,0,45,1,16,228,31,0
臺中市東勢區,105,12月,7,5,0,45,1,16,228,9,0
臺中市梧棲區,105,10月,21,2,0,35,2,8,227,84,0
臺中市梧棲區,105,11月,12,2,0,35,1,8,227,85,0
臺中市梧棲區,105,12月,14,2,0,35,1,8,227,26,0
臺中市沙鹿區,105,10月,31,4,0,44,3,13,202,199,0
臺中市沙鹿區,105,11月,17,4,1,44,2,13,202,223,0
臺中市沙鹿區,105,12月,10,4,0,44,1,13,202,58,0
臺中市清水區,105,10月,23,6,0,62,4,17,198,98,1
臺中市清水區,105,11月,26,6,0,62,2,17,198,83,0
臺中市清水區,105,12月,11,6,1,62,1,17,198,29,1
臺中市潭子區,105,10月,17,3,0,22,5,11,0,71,1
臺中市潭子區,105,11月,20,3,0,22,2,11,0,77,0
臺中市潭子區,105,12月,10,3,0,22,1,11,0,25,0
臺中市烏日區,105,10月,11,5,0,34,2,12,0,104,1
臺中市烏日區,105,11月,10,5,0,34,4,12,0,105,1
臺中市烏日區,105,12月,12,5,0,34,2,12,0,39,1
臺中市石岡區,105,10月,1,2,0,21,0,3,0,2,0
臺中市石岡區,105,11月,2,2,0,21,3,3,0,9,0
臺中市神岡區,105,10月,12,2,0,28,0,7,0,82,0
臺中市神岡區,105,11月,6,2,0,28,1,7,0,92,0
臺中市神岡區,105,12月,5,2,0,28,0,7,0,31,0
臺中市西屯區,105,10月,51,8,0,36,12,25,243,602,1
臺中市西屯區,105,11月,47,8,1,36,12,25,243,688,1
臺中市西屯區,105,12月,23,8,1,36,5,25,243,319,0
臺中市豐原區,105,10月,21,7,0,100,7,18,209,86,1
臺中市豐原區,105,11月,22,7,0,100,5,18,209,65,0
臺中市豐原區,105,12月,17,7,1,100,2,18,209,23,1
臺中市霧峰區,105,10月,9,5,0,44,2,16,0,60,1
臺中市霧峰區,105,11月,13,5,0,44,1,16,0,92,1
臺中市霧峰區,105,12月,8,5,0,44,0,16,0,59,1
臺中市龍井區,105,10月,9,5,0,42,1,11,0,96,1
臺中市龍井區,105,11月,7,5,0,42,1,11,0,127,0
臺中市龍井區,105,12月,11,5,0,42,0,11,0,51,0
臺中市中區,105,10月,20,2,0,12,3,1,235,59,0
臺中市中區,105,11月,28,2,0,12,4,1,235,82,1
臺中市中區,105,12月,16,2,0,12,0,1,235,36,0
臺中市中北區,105,10月,58,6,0,49,6,18,255,168,1
臺中市中北區,105,11月,64,6,1,49,3,18,255,270,1
臺中市中北區,105,12月,36,6,1,49,6,18,255,114,1
臺中市中南區,105,10月,15,4,0,28,5,10,254,204,1
臺中市中南區,105,11月,12,4,0,28,4,10,254,217,0
臺中市中南區,105,12月,9,4,0,28,2,10,254,99,0
臺中市中東區,105,10月,16,3,0,30,4,11,241,211,1
